"Prc","Bed","floor","TotFloor","Bath","Sqft","City","Comp","Dist"
1590,3,3,4,4,501,"Blossomville","Leaseflow",10.6
2460,2,5,7,2,1275,"Terranova","Rentopia",1.4
2630,1,4,6,2,982,"Riverport","Leaseflow",6.8
2820,1,2,4,1,2418,"Terranova","Leaseflow",0.4
2740,4,1,2,3,1655,"Terranova","Rentopia",5.3
2370,3,5,5,2,1024,"Riverport","Leaseflow",0.5
1870,1,1,4,1,864,"Terranova","Rentopia",3.5
1850,3,2,4,1,671,"Blossomville","Rentopia",3.6
1750,4,1,5,1,609,"Riverport","Rentopia",1.4
2090,1,1,4,1,834,"Terranova","Rentopia",4
3180,1,1,1,1,1541,"Blossomville","Leaseflow",2.2
894,4,1,2,3,652,"Blossomville","Rentopia",4.3
1420,1,1,2,1,1443,"Blossomville","Leaseflow",1
1650,4,3,3,1,1805,"Riverport","Rentopia",3.2
4650,1,2,6,2,1479,"Riverport","Rentopia",1.6
2130,4,4,4,1,1121,"Terranova","Rentopia",1.7
1700,1,1,1,1,813,"Blossomville","Rentopia",2.2
3160,4,1,6,2,1981,"Blossomville","Rentopia",0.6
2360,1,3,3,1,876,"Riverport","Rentopia",5
1270,4,1,3,2,1437,"Terranova","Rentopia",8.1
2610,3,1,3,1,1730,"Riverport","Rentopia",1.6
1390,4,2,3,1,735,"Terranova","Rentopia",2.1
2520,4,1,1,2,1973,"Terranova","Rentopia",2
1610,1,3,4,1,1604,"Terranova","Leaseflow",2.3
2140,1,1,1,1,1851,"Riverport","Rentopia",4.1
2260,1,1,9,1,1405,"Blossomville","Rentopia",1.6
1890,4,2,5,1,1611,"Blossomville","Rentopia",4.2
2050,3,2,3,1,1201,"Riverport","Leaseflow",1.2
1240,1,4,5,1,1063,"Terranova","Rentopia",3
2240,2,1,4,1,1530,"Riverport","Rentopia",0.4
3160,3,4,4,1,634,"Blossomville","Leaseflow",1.5
1720,3,2,2,1,923,"Riverport","Rentopia",4.6
1570,4,1,4,1,662,"Riverport","Rentopia",2.8
